Accession,Species,Length,Sequence_Type,Protein,Host,Isolation_Source,Collection_Date
UHK31336.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020
UHK31348.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020
UHK32125.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020
UHK32640.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020
UHK33464.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020
UHK33845.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020
UHK33904.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020
UHK33916.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020
UHK33928.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020
UHK33952.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020
UHK33964.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020
UHK33976.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020
UHK33988.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020
UHK34000.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020
UHK34048.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020
UHK34072.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020
UHK34084.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020
UHK34096.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020
UHK34539.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020
UHK34551.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020
UHK34575.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020
UHK36326.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020
UHK36806.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020
UHK36818.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020
UHK37607.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020
UHM43518.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020
UHM43566.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020
UHM43662.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020
UHM43746.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020
UHM43758.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020
UHM43770.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020
UHM43962.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020
UHM43974.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020
UHM43986.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020
UHM43998.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020
UHM44010.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020
UHK19758.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020
UHK19770.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020
UHK19782.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020
UHK19806.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020
UHK19829.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020
UHK20621.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020
UHK20633.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020
UHK20813.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020
